"","DriverGender","DriverMaritalStatus","DriverAge","Fault","VehicleCategory","VehiclePrice","FraudFound","Deductible","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","NumberOfCars","IncidentYear","BasePolicy","VehOrigin"
"1","Male","Single",63,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1996","All Perils","Japan"
"2","Male","Married",52,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1995","All Perils","Japan"
"3","Male","Married",57,"Policy Holder","Utility","more than 69000",1,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"4","Male","Married",37,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"5","Male","Married",67,"Policy Holder","Utility","more than 69000",0,"700","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1995","All Perils","Japan"
"6","Male","Single",30,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","1 to 2","1 vehicle","1995","Liability","Japan"
"7","Male","Married",47,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"8","Male","Married",42,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","3 to 5","1 vehicle","1994","All Perils","Japan"
"9","Female","Single",35,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1996","Liability","Japan"
"13","Male","Single",78,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"15","Male","Single",32,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","3 to 4","1994","Collision","Japan"
"16","Male","Married",50,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"18","Male","Married",54,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","1 to 2","1 vehicle","1995","Liability","Japan"
"19","Male","Married",39,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"20","Male","Married",38,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"24","Male","Married",44,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","3 to 5","2 vehicles","1996","All Perils","Japan"
"25","Male","Married",36,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Collision","Japan"
"26","Male","Married",49,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1996","Collision","Japan"
"30","Male","Married",65,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"31","Male","Single",55,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","Japan"
"32","Female","Married",50,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"33","Male","Married",49,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1995","Collision","Japan"
